combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
1,0.6064307152833497,0.5996671817425413,0.1,0.001,3,1,10
2,0.6064604320822561,0.5996671817425413,0.1,0.001,3,1,50
3,0.6064307152833497,0.5996671817425413,0.1,0.001,3,1,100
4,0.6064307152833497,0.5996671817425413,0.1,0.001,3,10,10
5,0.6064307152833497,0.5996671817425413,0.1,0.001,3,10,50
6,0.6064307152833497,0.5996671817425413,0.1,0.001,3,10,100
7,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,10
8,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,50
9,0.6064307152833497,0.5996671817425413,0.1,0.001,3,100,100
10,0.6083325904133606,0.6013312730298348,0.1,0.001,5,1,10
11,0.6069359008647588,0.5999049090692975,0.1,0.001,5,1,50
12,0.6067873168702267,0.5997860454059194,0.1,0.001,5,1,100
13,0.6066684496746011,0.5996671817425413,0.1,0.001,5,10,10
14,0.606519865680069,0.5996671817425413,0.1,0.001,5,10,50
15,0.606519865680069,0.5996671817425413,0.1,0.001,5,10,100
16,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,10
17,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,50
18,0.6064307152833497,0.5996671817425413,0.1,0.001,5,100,100
19,0.6099967311521203,0.602757636990372,0.1,0.001,8,1,10
20,0.6083325904133606,0.6001426363960537,0.1,0.001,8,1,50
21,0.6081542896199221,0.6000237727326756,0.1,0.001,8,1,100
22,0.6071142016581974,0.5997860454059194,0.1,0.001,8,10,10
23,0.6065792992778818,0.5996671817425413,0.1,0.001,8,10,50
24,0.6065495824789754,0.5996671817425413,0.1,0.001,8,10,100
25,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,10
26,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,50
27,0.6064307152833497,0.5996671817425413,0.1,0.001,8,100,100
28,0.610680217526968,0.6028765006537502,0.1,0.001,10,1,10
29,0.6092538111794598,0.6003803637228099,0.1,0.001,10,1,50
30,0.608778342396957,0.6001426363960537,0.1,0.001,10,1,100
31,0.6071142016581974,0.5997860454059194,0.1,0.001,10,10,10
32,0.6065792992778818,0.5996671817425413,0.1,0.001,10,10,50
33,0.6065495824789754,0.5996671817425413,0.1,0.001,10,10,100
34,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,10
35,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,50
36,0.6064307152833497,0.5996671817425413,0.1,0.001,10,100,100
37,0.6064307152833497,0.5996671817425413,0.1,0.01,3,1,10
38,0.6066684496746011,0.5999049090692975,0.1,0.01,3,1,50
39,0.6077679712341386,0.6001426363960537,0.1,0.01,3,1,100
40,0.6064307152833497,0.5996671817425413,0.1,0.01,3,10,10
41,0.606519865680069,0.5997860454059194,0.1,0.01,3,10,50
42,0.6072925024516359,0.6000237727326756,0.1,0.01,3,10,100
